Sort Order,Category,Sub Category,Product Name,Product Image,MRP,Sale Price,Purchase Price,CGST,SGST,IGST,Profit Lumpsump,Profit,Details,Subcription,Youtube Title,Youtube URL,Status,IsDaily
1,Grocery,, AG VERMICELLI,milkywaylogo.jpg,12,10,,0,0,,,5,,,,,TRUE,FALSE
2,Grocery,, BHUJIYA 500GM,milkywaylogo.jpg,0,95,,2.5,2.5,,,5,,,,,TRUE,FALSE
3,Grocery,, CHIKKI 250GM,milkywaylogo.jpg,100,40,,0,0,,,5,,,,,TRUE,FALSE
4,Grocery,, FAKIRA CHAT MASALO 100GM,milkywaylogo.jpg,0,65,,9,9,,,5,,,,,TRUE,FALSE
5,Grocery,, FARSAN 500GM,milkywaylogo.jpg,95,65,,9,9,,,5,,,,,TRUE,FALSE
6,Grocery,, HAIR WAX 125GM,milkywaylogo.jpg,0,32,,0,0,,,5,,,,,TRUE,FALSE
7,Grocery,, HAIR WAX 125GM,milkywaylogo.jpg,0,135,,0,0,,,5,,,,,TRUE,FALSE
8,Grocery,, KOLAM G.17 NEW PUNIT,milkywaylogo.jpg,0,39,,0,0,,,5,,,,,TRUE,FALSE
9,Grocery,, MINI KHAKHARA MASALA 1PIS,milkywaylogo.jpg,10,10,,2.5,2.5,,,5,,,,,TRUE,FALSE
10,Grocery,, NAVRATNA MIX 200GM,milkywaylogo.jpg,100,80,,0,0,,,5,,,,,TRUE,FALSE
11,Grocery,, OREO VENILA 120GM,milkywaylogo.jpg,30,30,,9,9,,,5,,,,,TRUE,FALSE
12,Grocery,, PANIPURI,milkywaylogo.jpg,0,55,,2.5,2.5,,,5,,,,,TRUE,FALSE
13,Grocery,, PARLE 20-20 CASHEW 35GM,milkywaylogo.jpg,5,5,,9,9,,,5,,,,,TRUE,FALSE
14,Grocery,, MAGGI COCONUT MILK POWDER,milkywaylogo.jpg,25,23,,2.5,2.5,,,5,,,,,TRUE,FALSE
15,Grocery,, RAVA PANIPURI,milkywaylogo.jpg,60,55,,2.5,2.5,,,5,,,,,TRUE,FALSE
16,Grocery,, STUTI RAJAGIRA LADU 80GM,milkywaylogo.jpg,35,25,,2.5,2.5,,,5,,,,,TRUE,FALSE
17,Grocery,,COLGATE PLAX PAPER MINT 250ML,milkywaylogo.jpg,130,130,,9,9,,,5,,,,,TRUE,FALSE
18,Grocery,,10 IN 1 ACTIVE MIRACLE HAIR OIL 200ML,milkywaylogo.jpg,599,470,,9,9,,,5,,,,,TRUE,FALSE
19,Grocery,,10 IN 1 ACTIVE MIRACLE HAIR OIL 100ML,milkywaylogo.jpg,349,270,,9,9,,,5,,,,,TRUE,FALSE
20,Grocery,,10 IN 1 MIRACLE HAIR REVITALIZER 200ML,milkywaylogo.jpg,599,569.05,,9,9,,,5,,,,,TRUE,FALSE
21,Grocery,,100 ML ROSE WATER ,milkywaylogo.jpg,30,20,,9,9,,,5,,,,,TRUE,FALSE
22,Grocery,,VEG CHOCO CAKE FRUIT BAR 60G,milkywaylogo.jpg,15,14,,9,9,,,5,,,,,TRUE,FALSE
23,Grocery,,150 KAJU 250GM,milkywaylogo.jpg,0,425,,2.5,2.5,,,5,,,,,TRUE,FALSE
24,Grocery,,PANASONIC 1D GOLD HYPER,milkywaylogo.jpg,30,28,,9,9,,,5,,,,,TRUE,FALSE
25,Grocery,,20-20 BUTTER 90GM,milkywaylogo.jpg,5,4.6,,9,9,,,5,,,,,TRUE,FALSE
26,Grocery,,20-20 GOLD CHS ALMOND 52.5G,milkywaylogo.jpg,10,9.52,,9,9,,,5,,,,,TRUE,FALSE
27,Grocery,,20-20 NICE 150GM,milkywaylogo.jpg,25,23,,9,9,,,5,,,,,TRUE,FALSE
28,Grocery,,20-20 BUTTER 90GM,milkywaylogo.jpg,10,10,,9,9,,,5,,,,,TRUE,FALSE
29,Grocery,,20-20 CASHEW 200GM,milkywaylogo.jpg,25,23.75,,9,9,,,5,,,,,TRUE,FALSE
30,Grocery,,20-20 CASHEW 45G,milkywaylogo.jpg,5,4.6,,9,9,,,5,,,,,TRUE,FALSE
31,Grocery,,20-20 CASHEW 70GM,milkywaylogo.jpg,10,9.5,,9,9,,,5,,,,,TRUE,FALSE
32,Grocery,,24 CARAT GOLD KAPOOR DANI ,milkywaylogo.jpg,599,250,,2.5,2.5,,,5,,,,,TRUE,FALSE
33,Grocery,,24 CARAT GOLD ANTI AGE EXFOLIATING SCRUB 100GM,milkywaylogo.jpg,1450,1200,,0,0,,,5,,,,,TRUE,FALSE
34,Grocery,,24 MANTR CHANA DAL 500GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
35,Grocery,,24 MANTRA CORN FLOUR 500GM,milkywaylogo.jpg,0,0,,0,0,,,5,,,,,TRUE,FALSE
