Sort Order,Category,Sub Category,Product Name,Product Image,MRP,Sale Price,Purchase Price,CGST,SGST,IGST,Profit Lumpsump,Profit,Details,Subcription,Youtube Title,Youtube URL,Status,IsDaily
1,Chemical Free Fruits & Vegetables,FRUITS,Watermelon 1-pc,Watermelon1-pc.jpg,100,100,,0,0,,,5,Please note that these are not certified Organic vegetables but these vegetables are grown with no help of chemicals as fertilisers and pesticides which can create harmful effect on your health and your family Chemical free vegetables are grown without any chemical pesticides or fertilisers and maintaining the farming standards of organic farming. The criteria vary globally depending upon the regulatory authority but the essential characteristics are the same such as promoting ecological balance conserving biodiversity and use of naturally available resources only. You can directly get fresh farm produce directly from your local farmers.,0,,,TRUE,FALSE
2,Chemical Free Fruits & Vegetables,FRUITS,Pomegranate 4 pc,Pomegranate4pc.jpg,215,215,,0,0,,,5,Please note that these are not certified Organic vegetables but these vegetables are grown with no help of chemicals as fertilisers and pesticides which can create harmful effect on your health and your family Chemical free vegetables are grown without any chemical pesticides or fertilisers and maintaining the farming standards of organic farming. The criteria vary globally depending upon the regulatory authority but the essential characteristics are the same such as promoting ecological balance conserving biodiversity and use of naturally available resources only. You can directly get fresh farm produce directly from your local farmers.,0,,,TRUE,FALSE
3,Chemical Free Fruits & Vegetables,FRUITS,Papaya 1 pc,Papaya1pc.jpg,53,53,,0,0,,,5,Please note that these are not certified Organic vegetables but these vegetables are grown with no help of chemicals as fertilisers and pesticides which can create harmful effect on your health and your family Chemical free vegetables are grown without any chemical pesticides or fertilisers and maintaining the farming standards of organic farming. The criteria vary globally depending upon the regulatory authority but the essential characteristics are the same such as promoting ecological balance conserving biodiversity and use of naturally available resources only. You can directly get fresh farm produce directly from your local farmers.,0,,,TRUE,FALSE
4,Chemical Free Fruits & Vegetables,FRUITS,Water Melon 1 pc,WaterMelon1pc.jpg,100,100,,0,0,,,5,Please note that these are not certified Organic vegetables but these vegetables are grown with no help of chemicals as fertilisers and pesticides which can create harmful effect on your health and your family Chemical free vegetables are grown without any chemical pesticides or fertilisers and maintaining the farming standards of organic farming. The criteria vary globally depending upon the regulatory authority but the essential characteristics are the same such as promoting ecological balance conserving biodiversity and use of naturally available resources only. You can directly get fresh farm produce directly from your local farmers.,0,,,TRUE,FALSE
5,Chemical Free Fruits & Vegetables,FRUITS,Apple 4 pc,Apple4pc.png,186,186,,0,0,,,5,Please note that these are not certified Organic vegetables but these vegetables are grown with no help of chemicals as fertilisers and pesticides which can create harmful effect on your health and your family Chemical free vegetables are grown without any chemical pesticides or fertilisers and maintaining the farming standards of organic farming. The criteria vary globally depending upon the regulatory authority but the essential characteristics are the same such as promoting ecological balance conserving biodiversity and use of naturally available resources only. You can directly get fresh farm produce directly from your local farmers.,0,,,TRUE,FALSE
6,Chemical Free Fruits & Vegetables,FRUITS,Banana 1 kg,Banana1kg.jpg,32,32,,0,0,,,5,Please note that these are not certified Organic vegetables but these vegetables are grown with no help of chemicals as fertilisers and pesticides which can create harmful effect on your health and your family Chemical free vegetables are grown without any chemical pesticides or fertilisers and maintaining the farming standards of organic farming. The criteria vary globally depending upon the regulatory authority but the essential characteristics are the same such as promoting ecological balance conserving biodiversity and use of naturally available resources only. You can directly get fresh farm produce directly from your local farmers.,0,,,TRUE,FALSE
1,Chemical Free Fruits & Vegetables,VEGETABLES,Yellow Capsicum 2 pc,YellowCapsicum2pc.jpg,110,110,,0,0,,,5,Please note that these are not certified Organic vegetables but these vegetables are grown with no help of chemicals as fertilisers and pesticides which can create harmful effect on your health and your family Chemical free vegetables are grown without any chemical pesticides or fertilisers and maintaining the farming standards of organic farming. The criteria vary globally depending upon the regulatory authority but the essential characteristics are the same such as promoting ecological balance conserving biodiversity and use of naturally available resources only. You can directly get fresh farm produce directly from your local farmers.,0,,,TRUE,FALSE
2,Chemical Free Fruits & Vegetables,VEGETABLES,Mitho Limdo 100gm,MithoLimdo 100gm.jpg,10,10,,0,0,,,5,Please note that these are not certified Organic vegetables but these vegetables are grown with no help of chemicals as fertilisers and pesticides which can create harmful effect on your health and your family Chemical free vegetables are grown without any chemical pesticides or fertilisers and maintaining the farming standards of organic farming. The criteria vary globally depending upon the regulatory authority but the essential characteristics are the same such as promoting ecological balance conserving biodiversity and use of naturally available resources only. You can directly get fresh farm produce directly from your local farmers.,0,,,TRUE,FALSE
3,Chemical Free Fruits & Vegetables,VEGETABLES,Limbu 250gm,Limbu250gm.jpg,12,12,,0,0,,,5,Please note that these are not certified Organic vegetables but these vegetables are grown with no help of chemicals as fertilisers and pesticides which can create harmful effect on your health and your family Chemical free vegetables are grown without any chemical pesticides or fertilisers and maintaining the farming standards of organic farming. The criteria vary globally depending upon the regulatory authority but the essential characteristics are the same such as promoting ecological balance conserving biodiversity and use of naturally available resources only. You can directly get fresh farm produce directly from your local farmers.,0,,,TRUE,FALSE
4,Chemical Free Fruits & Vegetables,VEGETABLES,Garlic 1 kg,Garlic1kg.jpg,129,129,,0,0,,,5,Please note that these are not certified Organic vegetables but these vegetables are grown with no help of chemicals as fertilisers and pesticides which can create harmful effect on your health and your family Chemical free vegetables are grown without any chemical pesticides or fertilisers and maintaining the farming standards of organic farming. The criteria vary globally depending upon the regulatory authority but the essential characteristics are the same such as promoting ecological balance conserving biodiversity and use of naturally available resources only. You can directly get fresh farm produce directly from your local farmers.,0,,,TRUE,FALSE
